#   x       y(x)         y(x)^2         classical p(x)      V
 -8.450  0.93683435E-12  0.87765861E-24  0.00000000E+00   35.701250
 -8.440  0.10144650E-11  0.10291393E-23  0.00000000E+00   35.616800
 -8.430  0.10984122E-11  0.12065093E-23  0.00000000E+00   35.532450
 -8.420  0.11891799E-11  0.14141488E-23  0.00000000E+00   35.448200
 -8.410  0.12873117E-11  0.16571714E-23  0.00000000E+00   35.364050
 -8.400  0.13933937E-11  0.19415459E-23  0.00000000E+00   35.280000
 -8.390  0.15080574E-11  0.22742372E-23  0.00000000E+00   35.196050
 -8.380  0.16319839E-11  0.26633715E-23  0.00000000E+00   35.112200
 -8.370  0.17659069E-11  0.31184270E-23  0.00000000E+00   35.028450
 -8.360  0.19106170E-11  0.36504573E-23  0.00000000E+00   34.944800
 -8.350  0.20669663E-11  0.42723496E-23  0.00000000E+00   34.861250
 -8.340  0.22358726E-11  0.49991263E-23  0.00000000E+00   34.777800
 -8.330  0.24183247E-11  0.58482945E-23  0.00000000E+00   34.694450
 -8.320  0.26153877E-11  0.68402528E-23  0.00000000E+00   34.611200
 -8.310  0.28282085E-11  0.79987633E-23  0.00000000E+00   34.528050
 -8.300  0.30580223E-11  0.93515005E-23  0.00000000E+00   34.445000
 -8.290  0.33061591E-11  0.10930688E-22  0.00000000E+00   34.362050
 -8.280  0.35740508E-11  0.12773839E-22  0.00000000E+00   34.279200
 -8.270  0.38632387E-11  0.14924613E-22  0.00000000E+00   34.196450
 -8.260  0.41753821E-11  0.17433816E-22  0.00000000E+00   34.113800
 -8.250  0.45122666E-11  0.20360550E-22  0.00000000E+00   34.031250
 -8.240  0.48758138E-11  0.23773560E-22  0.00000000E+00   33.948800
 -8.230  0.52680915E-11  0.27752788E-22  0.00000000E+00   33.866450
 -8.220  0.56913242E-11  0.32391171E-22  0.00000000E+00   33.784200
 -8.210  0.61479052E-11  0.37796739E-22  0.00000000E+00   33.702050
 -8.200  0.66404087E-11  0.44095028E-22  0.00000000E+00   33.620000
 -8.190  0.71716033E-11  0.51431894E-22  0.00000000E+00   33.538050
